Experience_Name,Rating,Reviews,City,Country,Duration,Languages,Cost,Group_Limit,Group_Start_Cost
One-on-One Writing Coaching with a Published Author,5,37,Zirconia,United States,60, English,25,,
,5,4,Tokyo,Japan,90, Japanese,44,2,44
Embroidered a Mexican skull,5,2,Mexico City,Mexico,25, Spanish and English,6,8,40
Gaudis masterpieces & mosaic technique,4.86,44,Barcelona ,Spain,60, English German and Spanish,18,30,59
Relax & Unwind With Meditative Art,5,16,Elizabeth,United States,60, English,15,30,63
Paint Picasso,4.96,27,Barcelona,Spain,90, English Spanish and Italian,35,30,175
How to Become Polish in One Hour,4.97,114,Krakow,Poland,60, English and Spanish,13,30,102
Photographing food and still life in your home,5,11,Ferrara,Italy,45, Italian and English,12,10,59
Lakota Star Quilts with Master Quilter,4.97,36,Eagle Butte,United States,60, English,14,10,12
Explore Chinese Tea Culture,,,Shantou City,China,90, Chinese Simplified,31,10,94
Virtual tour of Cordoba & Tile Printing,5,1,Cordoba,Spain,120, English,19,,
Jewelry exhibition and design workshop,5,4,Leighton Buzzard,United Kingdom,60, English,21,30,103
Eco-friendly Bojagi wrapping,4.8,5,San Leandro,United States,60, English and Korean,15,10,60
Live the passion of tango and its poetry,5,1,Buenos Aires,Argentina,60, Spanish and English,12,30,20
Let 's paint the Florence Dome,4.97,34,Florence,Italy,90, English,18,20,59
Origami for Any Age and Level,5,17,Lisboa,Portugal,60, French and English,18,30,88
Draw Sketch and a Postcard Together,4.81,16,Kiev,Ukraine,90, English and Russian,18,6,46
Create a dammit/stress doll,5,6,Amsterdam,Netherlands,90, English,30,30,88
Daily meditation art practice,4.89,9,Cape Town,South Africa,120, English,48,6,41
"Drawing from Dreams, Sedona Style",5,28,Sedona,United States,90, English,20,4,60
Chai Tea Masterclass-(VEGAN Friendly),5,64,Jaipur,India,30, English,11,100,134
Make Cannoli with Sicilian Home Chef,4.96,449,Milano,Italy,75, English and Italian,19,30,70
Baklava Cooking Class with Turkish Mom,5,11,Istanbul,Turkey,60, English,33,6,163
Vegan Indonesian Street-Food Desserts,4.97,30,Denpasar,Indonesia,60, English,12,20,72
Bake Pastel de Nata with Portuguese Chef,4.97,276,Lisbon,Portugal,120, English Spanish French and Portuguese,30,30,204
"Moroccan Tagine, Moroccan Crepes and Cookie",4.98,487,Marrakech,Morocco,175, French Arabic and English,15,30,122
Halloween Edition - Eastern European Pastries with Lenka,4.99,299,New York,United States,90, English Czech and Slovakian,29,100,229
Italian Ice Cream what a passion,5,5,Manarola,Italy,60, Italian and English,24,30,233
Prepare something Sweet for Teatime,5,5,Buenos Aires,Argentina,30, 6 languages,12,30,100
Puerto Rico Holiday Cocktail and Pastelillos,4.97,37,New York,United States,60, English and Spanish,21,30,50
Prepare The Delicious Chocotorta,4.5,2,Buenos Aires,Argentina,45, 6 languages,12,30,100
Virtual Macaron Class,,,D.C.,United States,120, English,65,10,625
The Art of Turkish Breakfast with Burak,4.97,192,Istanbul,Turkey,90, English,14,100,222
Soulfull Biscuit Making,5,320,New York,United States,60, English,22,100,600
The Flour Hour,4.97,35,Portland,United States,60, English,10,10,80
Easy and delicious Montreal-style Bagels,4.98,106,Montreal,Canada,60, English and French,35,30,211
Turkish ravioli - Mantı with Turkish mom,5,3,Istanbul,Turkey,60, English,33,6,163
Bake pepparkakor with your family,5,5,Vaglia,Italy,90, Italian English and Swedish,24,20,93
"Tart Tatin, the French Apple Pie",4.98,44,Nice,France,60, English and French,14,30,140
Gözleme Cooking Class with Turkish Mom,5,8,Istanbul,Turkey,60, English,27,6,66
Japanese curry bread from scratch,5,6,Tokyo,Japan,175, English,18,6,66
Sicilian almond pastries and pudding,5,13,Palermo,Italy,60, English,18,30,198
Crusty French Baguette Recipe,4.96,212,Nice,France,60, English and French,16,30,151
Learn to Make Perfect Pies,5,12,Montreal,Canada,75, English,32,30,122
Sweet Treats and Sleight of Hand,4.98,117,Johannesburg,South Africa,60, English,18,30,335
The Ultimate Cookie Class,4.97,30,Montreal,Canada,90, English,34,30,98
World Champion Tiramisu and funny Italian gestures,4.99,560,Olgiate Comasco,Italy,60, English,24,100,209
Japanese matcha or fruits chiffon cake,5,13,Tokyo,Japan,120, English,18,10,66
Make Vegan Brownies with the Family,5,38,Medellin,Colombia,60, Spanish and English,9,,
Cookie Lovers Wanted -Bake with KeKe,5,1,Nashville,United States,60, English,13,10,90
"Bake a Magic Cake, French modern cuisine",5,36,Nice,France,60, English and French,14,30,140
French Chocolate mousse and Lime mousse French lady chef,4.95,44,Riverview,United States,60, English and French,10,30,100
Easy and impressive French Macarons,4.97,196,Montreal,Canada,90, English and French,54,30,243
Luxurious French profiteroles & eclairs,4.8,5,Montreal,Canada,60, English,37,30,122
"Pasta and Tiramisu, Italian excellence",,,Siena,Italy,120, Italian and English,35,10,93
Baking Melon-pan with a nutritionist,5,6,Matsudo,Japan,25, English,22,30,88
Bake Pastel de Nata with a Local,4.97,365,Maia,Portugal,90, Portuguese English and Spanish,30,30,639
Family fun Italian tiramisù cookalong,5,16,Venice,Italy,60, English,24,30,93
Apple pie and Irish coffee,5,2,Galway,Ireland,60, English,35,30,204
Decorated Cookies and Alfajores Class,5,2,Montevideo,Uruguay,90, Spanish and English,16,30,229
Baking Irish Scones and Brown Bread Zoom,4.95,113,Galway,Ireland,60, English,30,30,175
California Cooking with a Pro,5,1,San Francisco,United States,90, English,50,30,600
"Mochi, Ice Cream Mochi & Mochi Donuts",4.93,40,San Leandro,United States,90, English,32,30,250
Pasta with the Grandmas Autumn version,4.98,2238,Palombara Sabina,Italy,90, English and Japanese,38,500,291
Cook Spanish Paella with a Top Chef,4.97,1066,Barcelona,Spain,90, English,35,100,349
"Luca & Lorenzo, Our Family Pasta Recipe",5,1786,Lastra a Signa,Italy,120, English,35,500,349
Make Mexican Street Tacos with a Pro Chef,4.98,3587,Mexico City,Mexico,90, English and Spanish,21,500,208
Top Peruvian Recipes with an Expert Chef,4.99,191,Cusco,Peru,90, English and Spanish,18,30,51
